Status game,Score,Time,Algorithm
lose,8,1.2884,algorithm
lose,99,28.15566,algorithm
lose,47,6.54371,algorithm
lose,29,3.90031,algorithm
lose,22,8,algorithm
lose,12,8,algorithm
lose,4,8,algorithm
lose,68,8,algorithm
lose,19,2.97663,algorithm
lose,50,9.4037,algorithm
lose,91,23.76545,algorithm
lose,0,0.0644,algorithm
lose,4,0.56717,algorithm
lose,39,6.88866,algorithm
lose,73,15.84119,algorithm
lose,22,3.29865,algorithm
lose,29,6.07489,algorithm
lose,14,1.9244,algorithm
lose,0,0.04775,algorithm
lose,91,22.78396,algorithm
lose,0,0.06282,algorithm
lose,0,0.06565,algorithm
lose,0,0.05905,algorithm
lose,0,0.06633,algorithm
lose,19,3.5939,algorithm
lose,1,0.0848,algorithm
lose,59,15.45205,algorithm
lose,91,20.89965,algorithm
lose,61,8.87558,algorithm
lose,81,20.7919,algorithm
lose,39,5.74883,algorithm
lose,8,2.27803,algorithm
lose,22,5.6579,algorithm
lose,34,14.79679,algorithm
lose,1,2.25757,algorithm
lose,18,7.32578,algorithm
lose,1,1.89271,algorithm
lose,63,9.83077,algorithm
lose,35,8.36242,algorithm
lose,22,3.8699,algorithm
lose,20,4.56826,algorithm
lose,8,0.95971,algorithm
lose,38,4.8279,algorithm
lose,23,13.6661,algorithm
lose,12,2.79631,algorithm
lose,32,18.49834,algorithm
lose,58,16.00769,algorithm
lose,28,5.3772,algorithm
lose,38,7.49818,algorithm
lose,65,16.09074,algorithm
lose,19,4.18208,algorithm
lose,19,4.10037,algorithm
lose,18,3.08987,algorithm
lose,19,2.9998,algorithm
lose,18,46.95097,algorithm
lose,15,2.62918,algorithm
lose,1,0.15199,algorithm
lose,17,61.61662,algorithm
lose,1,0.128,algorithm
lose,1,0.127,algorithm
lose,1,0.131,algorithm
lose,1,0.127,algorithm
lose,41,99.90569,algorithm
lose,19,2.99256,algorithm
lose,30,4.86104,algorithm
lose,4,0.5505,algorithm
lose,29,3.80283,algorithm
lose,28,5.49344,algorithm
lose,19,3.00632,algorithm
lose,61,8.95985,algorithm
lose,47,8.01392,algorithm
lose,19,3.07659,algorithm
lose,26,5.07387,algorithm
lose,1,0.09097,algorithm
lose,1,0.092,algorithm
lose,39,7.25951,algorithm
lose,19,3.01152,algorithm
lose,42,8.20558,algorithm
lose,17,2.62206,algorithm
lose,41,6.71155,algorithm
lose,1,0.096,algorithm
lose,61,9.32582,algorithm
lose,17,2.97661,algorithm
lose,14,1.6704,algorithm
lose,25,4.27386,algorithm
lose,15,2.24515,algorithm
lose,35,6.02375,algorithm
lose,45,6.96154,algorithm
lose,10,1.69772,algorithm
lose,22,6.10905,algorithm
lose,28,5.88793,algorithm
lose,19,3.14962,algorithm
lose,3,2.73679,algorithm
lose,29,5.34317,algorithm
lose,30,4.22534,algorithm
lose,8,1.67769,algorithm
lose,16,2.60189,algorithm
lose,18,3.243,algorithm
lose,1,0.06504,algorithm
lose,19,2.99014,algorithm
lose,22,3.98455,algorithm
lose,12,1.43125,algorithm
lose,111,28.0466,algorithm
lose,69,21.6669,algorithm
lose,48,8.16112,algorithm
lose,57,10.74917,algorithm
lose,55,8.42716,algorithm
lose,89,19.49976,algorithm
lose,4,2.61992,algorithm
lose,0,0.11362,algorithm
lose,0,0.1047,algorithm
lose,0,0.11143,algorithm
lose,0,0.10539,algorithm
lose,0,0.11201,algorithm
lose,0,0.11181,algorithm
lose,0,0.12518,algorithm
lose,0,0.11199,algorithm
lose,0,0.10854,algorithm
lose,0,0.12156,algorithm
lose,0,0.11003,algorithm
lose,1,1.20372,algorithm
lose,0,0.10397,algorithm
lose,46,9.77722,algorithm
lose,11,2.92037,algorithm
lose,59,12.75139,algorithm
lose,33,5.48626,algorithm
lose,7,6.18626,algorithm
lose,98,23.30124,algorithm
lose,82,17.71032,algorithm
